                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.57376,                0.31409,                0.84438,                0.59505,                0.75971,                0.64498,                0.48756,                0.72563,                0.56226,                0.91738,               0.003862,               0.003862,               0.003862
                     64,                0.58044,                0.31487,                 0.8489,                0.69751,                0.77862,                0.75607,                0.58295,                0.70459,                0.43131,                0.91453,               0.003763,               0.003763,               0.003763
                     65,                 0.5605,                0.30868,                0.84776,                0.66388,                0.83067,                0.77077,                0.58682,                0.71071,                0.43832,                0.91205,               0.003664,               0.003664,               0.003664
                     66,                0.56908,                0.31821,                0.84567,                0.58557,                0.73628,                0.59787,                0.45914,                0.70778,                0.63439,                0.89961,               0.003565,               0.003565,               0.003565
                     67,                0.56319,                0.30519,                0.84265,                0.58444,                 0.7343,                0.59121,                0.45409,                0.71082,                0.66723,                0.90058,               0.003466,               0.003466,               0.003466
                     68,                0.55518,                0.30265,                0.84121,                0.63944,                0.80461,                0.70705,                0.54684,                0.69956,                0.44419,                0.89016,               0.003367,               0.003367,               0.003367
                     69,                0.55868,                0.30599,                0.84616,                0.61851,                0.80814,                0.70071,                0.54011,                0.70629,                0.47994,                0.88802,               0.003268,               0.003268,               0.003268
                     70,                0.54859,                0.29519,                0.84022,                0.60602,                0.81007,                0.67753,                0.52382,                0.69729,                0.50193,                0.88928,               0.003169,               0.003169,               0.003169
                     71,                0.53906,                0.29231,                 0.8381,                0.62123,                0.82671,                0.68424,                0.53198,                 0.6939,                0.53564,                0.89656,                0.00307,                0.00307,                0.00307
                     72,                  0.541,                0.28916,                0.83598,                0.62003,                0.80237,                0.66902,                0.51695,                0.69399,                0.53469,                0.90904,               0.002971,               0.002971,               0.002971
                     73,                0.53386,                0.28495,                0.83796,                0.64446,                0.78161,                0.70069,                0.54428,                0.68983,                0.52265,                0.90725,               0.002872,               0.002872,               0.002872
                     74,                0.53279,                0.28408,                0.83299,                0.65631,                0.81041,                0.73534,                0.57214,                0.67777,                0.47845,                0.89919,               0.002773,               0.002773,               0.002773
                     75,                0.51607,                0.28068,                0.83158,                0.64622,                0.77564,                 0.6947,                0.53391,                 0.7119,                0.50083,                0.90892,               0.002674,               0.002674,               0.002674
                     76,                0.51456,                0.27772,                0.83509,                0.64628,                 0.8303,                0.73379,                0.57803,                0.69288,                0.48972,                0.90666,               0.002575,               0.002575,               0.002575
                     77,                0.50729,                0.27789,                0.83335,                0.57824,                0.74958,                0.61863,                0.48101,                 0.6711,                0.56071,                0.90139,               0.002476,               0.002476,               0.002476
                     78,                0.50393,                0.27231,                0.82983,                0.64913,                0.82194,                0.72467,                0.56533,                0.67809,                0.45848,                 0.9063,               0.002377,               0.002377,               0.002377
                     79,                0.48953,                0.26314,                 0.8268,                0.61331,                 0.7956,                0.65993,                0.51779,                0.67345,                 0.5317,                0.91156,               0.002278,               0.002278,               0.002278
                     80,                0.50284,                0.27077,                0.83029,                0.62055,                 0.7936,                0.64434,                0.50093,                 0.6789,                0.55379,                 0.9092,               0.002179,               0.002179,               0.002179
                     81,                0.49325,                0.26604,                0.82624,                0.67207,                0.79009,                0.74543,                0.58888,                0.66357,                0.43113,                0.90585,                0.00208,                0.00208,                0.00208
                     82,                0.48411,                0.26081,                0.82714,                 0.6296,                0.79238,                0.68176,                0.53578,                0.66514,                0.50999,                0.90552,               0.001981,               0.001981,               0.001981
                     83,                0.48405,                0.26142,                0.82701,                0.72492,                0.80499,                0.78223,                0.61212,                0.68261,                0.39544,                0.91755,               0.001882,               0.001882,               0.001882
                     84,                0.48609,                0.26327,                0.82869,                0.61764,                0.80499,                0.66215,                 0.5179,                0.67502,                0.50299,                0.90719,               0.001783,               0.001783,               0.001783
                     85,                0.47729,                0.26022,                0.82754,                0.60983,                0.77713,                 0.6292,                0.48824,                0.67432,                0.55909,                0.89782,               0.001684,               0.001684,               0.001684
                     86,                0.46624,                0.25802,                0.82532,                0.62158,                0.80394,                0.67101,                0.52977,                0.66008,                0.50187,                0.89141,               0.001585,               0.001585,               0.001585
                     87,                0.46868,                0.24959,                0.82339,                0.65219,                0.78252,                0.70311,                0.55679,                0.66222,                0.48555,                 0.8869,               0.001486,               0.001486,               0.001486
                     88,                0.46876,                0.25222,                0.82393,                0.63037,                0.74817,                 0.6529,                 0.5136,                0.66254,                0.51393,                0.88501,               0.001387,               0.001387,               0.001387
                     89,                0.45268,                0.24878,                0.81578,                 0.5925,                0.74762,                0.61784,                0.48729,                0.65709,                0.57335,                0.89235,               0.001288,               0.001288,               0.001288
                     90,                0.46361,                0.22789,                0.81003,                0.61232,                0.75498,                0.65005,                0.51045,                0.65904,                0.55448,                0.89256,               0.001189,               0.001189,               0.001189
                     91,                0.43371,                0.22095,                0.80585,                0.61441,                 0.7669,                0.65554,                0.51322,                0.66004,                0.54605,                0.89261,                0.00109,                0.00109,                0.00109
                     92,                0.43245,                0.22042,                0.80341,                0.65276,                0.74761,                0.69418,                0.54296,                0.66408,                0.50995,                0.89433,               0.000991,               0.000991,               0.000991
                     93,                0.42026,                0.21483,                0.80359,                0.61624,                0.80795,                0.66301,                0.52333,                0.64853,                0.50843,                0.89014,               0.000892,               0.000892,               0.000892
                     94,                0.41822,                0.21013,                0.80082,                0.66561,                0.81129,                0.74389,                0.58804,                0.65271,                0.43295,                0.89121,               0.000793,               0.000793,               0.000793
                     95,                0.41196,                0.20892,                 0.8037,                0.68581,                0.82108,                0.76188,                0.60542,                0.64708,                 0.4222,                0.89067,               0.000694,               0.000694,               0.000694
                     96,                0.40099,                 0.2062,                0.79676,                0.61718,                0.77283,                 0.6523,                0.51507,                0.65889,                0.53722,                 0.8941,               0.000595,               0.000595,               0.000595
                     97,                 0.4039,                 0.2045,                0.79979,                0.61423,                0.78374,                0.66875,                0.52942,                0.63789,                 0.5237,                0.88466,               0.000496,               0.000496,               0.000496
                     98,                0.39121,                0.19865,                0.79914,                0.63093,                0.79793,                0.68409,                0.54353,                0.65468,                0.50591,                  0.888,               0.000397,               0.000397,               0.000397
                     99,                 0.3888,                0.19737,                0.79722,                0.62778,                0.77926,                0.68116,                0.54138,                0.64684,                 0.5167,                 0.8871,               0.000298,               0.000298,               0.000298
